trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
126,False,"{'a': 0.5, 'e': 0.30581690837828934}",25,11,22.68809605989028,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.29628087292531874}",30,2,7.262372916905888,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.2867152096319555}",20,8,-28.628282285956338,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",20,16,5.503453108563317,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,0,35.26519430313895,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",30,13,-26.539965626328943,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",20,1,15.146671889741594,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",20,0,-80.81385669472668,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",25,17,-26.172901154170553,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",25,13,10.950188805603371,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",20,0,13.956509121957325,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",25,13,-10.62803524042219,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",20,0,6.777924460692722,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.17981297767299936}",25,14,20.069151434206212,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",30,17,9.45681962457856,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",30,12,7.305882411309918,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,7,-3.79769191316768,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.14033160584673673}",25,11,-8.03710375063533,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13042370873814554}",30,2,12.73628244053042,"{0: 25, 1: 2, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.12050276936736662}",30,9,11.767796785758438,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.11056977982006959}",20,0,5.203374902543549,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.10062573338693173}",20,2,25.009535942527595,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.09067162446430968}",20,6,-6.041289658762046,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08070844845480063}",20,9,21.74460516781666,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
