trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.5, 'e': 0.5403023058681397}",35,0,-66.74810125646138,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 2}",0
101,False,"{'a': 0.5, 'e': 0.5318607213743555}",20,3,-130.45282584161265,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 3}",1
102,False,"{'a': 0.5, 'e': 0.5233659512516495}",25,16,-3.432427616092811,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.5148188449699553}",20,6,-61.04165125196085,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
104,False,"{'a': 0.5, 'e': 0.5062202572327784}",20,12,13.858135522501687,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.49757104789172696}",20,1,-54.758058709138496,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.4888720818605275}",20,0,-54.76308036457803,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.4801242290285341}",25,7,-1.8716317820348773,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.47132836417373997}",20,10,-16.335820163167767,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.4624853668753008}",25,13,11.086379935384203,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4535961214255773}",30,0,-87.0045732984323,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.4446615167417068}",30,6,-38.72069883172431,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.5, 'e': 0.4356824462767121}",20,0,-49.36302324868812,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.42665980793015723}",25,18,-9.104722241321584,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.41759450395835795}",25,2,19.329047839103218,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.40848744088415717}",20,0,-53.08012965596566,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.3993395294062732}",30,18,20.179919506433794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,13,-18.292101803060497,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
118,False,"{'a': 0.5, 'e': 0.38092482436688185}",25,2,-121.43440018366086,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 2}",1
119,False,"{'a': 0.5, 'e': 0.371659872260533}",30,0,-38.56099001877534,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,0,-42.36432531939233,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
121,False,"{'a': 0.5, 'e': 0.3530194012193304}",20,0,-44.57186651463369,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
122,False,"{'a': 0.5, 'e': 0.34364574631604705}",20,0,37.082687397867325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.3342377271245026}",20,11,9.782939239426728,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.32479628443877623}",25,18,5.7240348856834915,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.3153223623952687}",20,0,-16.976062979598655,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.30581690837828934}",25,8,-27.152739777289874,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.29628087292531874}",25,16,-23.042474093658747,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.5, 'e': 0.2867152096319555}",25,9,-21.33577503712657,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.2771208750565576}",25,1,1.1848756591505392,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.26749882862458735}",25,13,11.92003197090164,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.2578500325326696}",20,12,11.849491070099223,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2481754516523729}",25,8,28.269365003095846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.23847605343372313}",30,16,14.765032851292343,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.22875280780845939}",25,0,3.239628838371445,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2190066870930415}",20,14,11.270761571875715,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.20923866589141926}",25,11,-2.5545142704097263,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.19944972099757285}",30,13,7.53747918623126,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.18964083129783424}",25,7,6.237413052922117,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.17981297767299936}",20,12,14.625597800260657,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.16996714290024081}",20,13,16.903861063125117,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.16010431155483126}",20,0,33.86532067452539,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.15022546991168584}",20,13,13.772617595061277,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.14033160584673673}",20,15,8.690653604380637,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.13042370873814554}",25,12,-35.78815397876422,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.12050276936736662}",30,2,-55.61574831129376,"{0: 24, 1: 1, 2: 1, 3: 0, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.11056977982006959}",30,2,-43.66776217596887,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.5, 'e': 0.10062573338693173}",20,11,10.522774097353736,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.09067162446430968}",20,13,0.5761438862480002,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.08070844845480063}",20,0,15.807463454726163,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.0707372016677029}",20,3,-15.37528988947143,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
151,False,"{'a': 0.5, 'e': 0.0607588812193859}",25,0,27.060438356087094,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.05077448493357918}",35,13,39.61165704284661,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.040785011241591035}",20,14,11.03910159789716,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.03079145908246612}",30,12,29.916107307692002,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.020794827803092428}",25,0,36.388155906477046,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.010796117058267392}",30,13,30.242074701435843,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.0007963267107332633}",20,10,19.532789753473324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
